job_domain,it_skills
Artificial Intelligence,"artificial intelligence, machine learning, data analysis, python, natural language processing, project management, java, c++, scala, deep learning, data science, sql, analytics, computer vision, predictive analytics"
Big Data Engineer,"spark, python, java, hive, sql, hadoop, scala, data modeling, linux, big data, aws, kafka, hbase, data analysis, cassandra"
Business Analyst,"data analysis, project management, sql, business analysis, requirements gathering, excel, documentation, process improvement, reporting, user acceptance testing, analytical skills, tableau, systems analysis, microsoft excel, python"
Business Intelligence Analyst,"sql, data analysis, business intelligence, tableau, excel, data modeling, project management, microsoft excel, data visualization, reporting, sas, database management, business analysis, business intelligence tools, python"
Cloud Architect,"java, sql, python, devops, cloud computing, javascript, docker, continuous integration, ci, project management, nosql, agile methodology, aws, security, c++"
Cloud Services Developer,"javascript, java, css, html, python, cloud computing, c, jquery, project management, software development, sql, ci, aws, php, html5"
Data Analyst,"data analysis, sql, data visualization, python, database management, excel, r, statistical analysis, tableau, data modeling, data mining, sas, data manipulation, data management, reporting"
Data Architect,"sql, data modeling, data architecture, data governance, data analysis, data integration, python, hadoop, data management, java, spark, data warehousing, nosql, ****, etl"
Data Engineer,"sql, python, java, spark, data modeling, data analysis, scala, data engineering, hadoop, hive, kafka, r, tableau, machine learning, pig"
Data Quality Manager,"data analysis, quality assurance, process improvement, data management, project management, root cause analysis, quality control, data governance, excel, ****, financial analysis, data entry, microsoft office suite, microsoft word, microsoft office"
Data Scientist,"machine learning, python, r, sql, data analysis, data science, data mining, statistical modeling, data modeling, statistical analysis, hadoop, data visualization, spark, predictive modeling, sas"
Data Visualization Expert,"data visualization, sql, data analysis, python, r, machine learning, project management, data modeling, tableau, data mining, excel, hadoop, analytics, spark, statistical analysis"
Data Warehousing,"data warehousing, data analysis, sql, inventory management, data modeling, data entry, project management, tableau, python, excel, business intelligence, data visualization, data mining, hadoop, inventory control"
Data and Analytics Manager,"data analysis, sql, data analytics, project management, python, data visualization, excel, analytics, tableau, sas, hive, business intelligence, r, data governance, data mining"
Database Administrator,"database administration, database management, database design, performance tuning, sql, excel, data entry, troubleshooting, oracle, data analysis, backup and recovery, data modeling, sql server, database security, microsoft excel"
Deep Learning,"project management, data analysis, c++, deep learning, customer service, tensorflow, python, merchandising, ****, machine learning, c, machine learning algorithms, inventory management, computer vision, product knowledge"
Full Stack Developer,"javascript, css, html, java, html5, node.js, react, mysql, python, jquery, aws, php, git, sql, css3"
IT Consultant,"data analysis, project management, sales, customer service, marketing, excel, powerpoint, microsoft office suite, analytical skills, customer relationship management, business analysis, outlook), business development, ****, business requirements gathering"
IT Systems Administrator,"active directory, troubleshooting, tcp, lan, project management, system administration, vmware, powershell, dns, networking, windows server, systems administration, ip, dhcp, linux"
Information Security Analyst,"information security, incident response, data analysis, project management, vulnerability management, penetration testing, network security, unix, risk assessment, risk management, ips, ids, risk assessments, firewalls, linux"
Machine Learning,"machine learning, python, c++, tensorflow, java, deep learning, sql, data analysis, r, data science, natural language processing, caffe, artificial intelligence, spark, computer vision"
Network Architect,"project management, bgp, ospf, tcp, troubleshooting, ip, network security, lan, network design, python, routing, mpls, qos, networking, wan"
Statistics,"data analysis, database management, data entry, statistics, excel, ****, sql, statistical analysis, machine learning, customer service, python, data collection, data management, powerpoint, administrative support"
Technical Operations,"project management, troubleshooting, inventory management, data analysis, data entry, ****, process improvement, technical skills:, microsoft office suite, product knowledge, microsoft word, excel, customer service, cashiering, sql"
